user_id,place_id,rating,form_version,study_frequency,main_study_purpose,usual_group_size,noise_tolerance,crowd_tolerance,wifi_importance,outlet_importance,table_capacity_importance,distance_tolerance,preferred_study_time,study_on_sundays,usual_group_size_raw,avg_session_spending_raw,avg_session_spending_numeric,avg_session_spending_open_ended,distance_tolerance_raw,distance_tolerance_unlimited,study_on_sundays_numeric,place_name,area,place_type,maps_url,noise_level,crowd_level,table_capacity,wifi_quality,power_outlet_availability,average_price,distance_to_binus_km,open_time,close_time,open_on_sundays,open_minutes,close_minutes,is_24_hours,closes_next_day,opening_duration_hours,noise_gap,crowd_gap,wifi_gap,outlet_gap,table_capacity_gap,price_gap,distance_gap,sunday_match,preferred_time_match
u13,15,4.0,c,5,Group assignment / discussion,6,4,4,3,3,5,7.0,Afternoon,No,5-6,"75,000",75000.0,0,7,0,0.0,Hoque's Kitchen,Modernland,Restaurant / Fast Food,https://maps.app.goo.gl/DyadQCBhmsAZiR27A,4,3,6,5,2,50000,4.0,11:00,23:30,1,660,1410,0,0,12.5,0,-1,2,-1,0,-25000.0,-3.0,0.0,1.0
u13,23,4.0,c,5,Group assignment / discussion,6,4,4,3,3,5,7.0,Afternoon,No,5-6,"75,000",75000.0,0,7,0,0.0,KFC Alam Sutera,Alam Sutera,Restaurant / Fast Food,https://maps.app.goo.gl/A8kX7B7r8Pa12jxU8,3,2,4,1,2,50000,2.5,08:00,23:00,1,480,1380,0,0,15.0,-1,-2,-2,-1,-2,-25000.0,-4.5,0.0,1.0
u13,28,3.0,c,5,Group assignment / discussion,6,4,4,3,3,5,7.0,Afternoon,No,5-6,"75,000",75000.0,0,7,0,0.0,Coarse & Fine,Alam Sutera,Cafe,https://maps.app.goo.gl/5vP2qeWb2C7o27uq5?g_st=ac,2,2,4,3,3,90000,2.6,08:00,18:00,1,480,1080,0,0,10.0,-2,-2,0,0,-2,15000.0,-4.4,0.0,1.0
u13,33,3.0,c,5,Group assignment / discussion,6,4,4,3,3,5,7.0,Afternoon,No,5-6,"75,000",75000.0,0,7,0,0.0,Coffee Melantjong,Alam Sutera,Cafe,https://maps.app.goo.gl/9SPrHmeYzRc7ZbQY6?g_st=ac,3,3,4,3,1,60000,2.6,07:00,22:00,1,420,1320,0,0,15.0,-1,-1,0,-2,-2,-15000.0,-4.4,0.0,1.0
u14,1,3.0,d,3,Casual study,2,4,4,2,2,2,3.0,Evening,Sometimes,2,"50,000",50000.0,0,3,0,0.5,LKC Discussion Room,BINUS Alam Sutera,Campus Space,https://maps.app.goo.gl/CRkRgCxV6U5izVxt5,1,1,8,3,5,0,0.0,09:00,17:00,0,540,1020,0,0,8.0,-3,-3,1,3,6,-50000.0,-3.0,0.5,0.0
u14,3,4.0,d,3,Casual study,2,4,4,2,2,2,3.0,Evening,Sometimes,2,"50,000",50000.0,0,3,0,0.5,McDonald's Downtown Alam Sutera,Alam Sutera,Restaurant / Fast Food,https://maps.app.goo.gl/AgJAKPBdUYqTKXSR6,4,3,4,4,3,60000,1.3,00:00,23:59,1,0,1439,1,0,24.0,0,-1,2,1,2,10000.0,-1.7,0.5,1.0
u14,20,3.0,d,3,Casual study,2,4,4,2,2,2,3.0,Evening,Sometimes,2,"50,000",50000.0,0,3,0,0.5,Starbucks DT Pacific Garden Alam Sutera,Alam Sutera,Cafe,https://maps.app.goo.gl/SU1XB2nxLQsGJuN6A,2,3,3,5,5,75000,0.3,07:00,22:00,1,420,1320,0,0,15.0,-2,-1,3,3,1,25000.0,-2.7,0.5,1.0
u14,35,1.0,d,3,Casual study,2,4,4,2,2,2,3.0,Evening,Sometimes,2,"50,000",50000.0,0,3,0,0.5,Two Stories Resto & Lounge,Alam Sutera,Restaurant / Fast Food,https://maps.app.goo.gl/FTQGbdiW11xiM9qK9,3,3,4,3,4,150000,2.2,10:00,23:59,1,600,1439,0,0,13.983333333333333,-1,-1,1,2,2,100000.0,-0.7999999999999998,0.5,1.0
u14,10,3.0,d,3,Casual study,2,4,4,2,2,2,3.0,Evening,Sometimes,2,"50,000",50000.0,0,3,0,0.5,IKEA Restaurant Alam Sutera,Alam Sutera,Restaurant / Fast Food,https://maps.app.goo.gl/F5zXK9v3wiAnuPmaA,4,3,4,4,4,75000,1.6,10:00,21:30,1,600,1290,0,0,11.5,0,-1,2,2,2,25000.0,-1.4,0.5,1.0
u14,16,3.0,d,3,Casual study,2,4,4,2,2,2,3.0,Evening,Sometimes,2,"50,000",50000.0,0,3,0,0.5,Kafe Pedekar Alam Sutera,Alam Sutera,Cafe,https://maps.app.goo.gl/3TGZE5QhWnuXfB3u6?g_st=ac,3,3,4,5,5,50000,4.4,10:00,03:00,1,600,180,0,1,17.0,-1,-1,3,3,2,0.0,1.4000000000000004,0.5,1.0
